Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
36,1.200000,-5.585058e-002,3.850912e-001,9.211870e-001,0.000000e+000,9.914086e-001,1.306873e-001,5.475785e-003,0.000000e+000,-1.182787e-001,9.135785e-001,-3.890817e-001,0.000000e+000,-5.755470e+001,2.226715e+001,6.904012e+000,1.000000e+000
37,1.233333,-5.486498e-002,3.836911e-001,9.218302e-001,0.000000e+000,9.914774e-001,1.301895e-001,4.821758e-003,0.000000e+000,-1.181626e-001,9.142384e-001,-3.875639e-001,0.000000e+000,-5.763227e+001,2.234559e+001,7.132257e+000,1.000000e+000
38,1.266667,-5.388466e-002,3.824362e-001,9.224094e-001,0.000000e+000,9.915584e-001,1.295940e-001,4.193706e-003,0.000000e+000,-1.179349e-001,9.148486e-001,-3.861909e-001,0.000000e+000,-5.769958e+001,2.244838e+001,7.373109e+000,1.000000e+000
39,1.300000,-5.309828e-002,3.815108e-001,9.228381e-001,0.000000e+000,9.916368e-001,1.290062e-001,3.724315e-003,0.000000e+000,-1.176310e-001,9.153180e-001,-3.851701e-001,0.000000e+000,-5.775318e+001,2.256795e+001,7.602298e+000,1.000000e+000
40,1.333333,-5.268318e-002,3.810464e-001,9.230537e-001,0.000000e+000,9.916968e-001,1.285502e-001,3.534069e-003,0.000000e+000,-1.173121e-001,9.155754e-001,-3.846549e-001,0.000000e+000,-5.779240e+001,2.269386e+001,7.795952e+000,1.000000e+000
41,1.366667,-5.269352e-002,3.810080e-001,9.230689e-001,0.000000e+000,9.917303e-001,1.282882e-001,3.660532e-003,0.000000e+000,-1.170242e-001,9.156283e-001,-3.846171e-001,0.000000e+000,-5.781747e+001,2.281623e+001,7.939745e+000,1.000000e+000
42,1.400000,-5.307744e-002,3.812523e-001,9.229461e-001,0.000000e+000,9.917399e-001,1.282014e-001,4.076015e-003,0.000000e+000,-1.167690e-001,9.155387e-001,-3.849077e-001,0.000000e+000,-5.782991e+001,2.292915e+001,8.029880e+000,1.000000e+000
43,1.433333,-5.369368e-002,3.816056e-001,9.227644e-001,0.000000e+000,9.917347e-001,1.282209e-001,4.681666e-003,0.000000e+000,-1.165311e-001,9.153888e-001,-3.853361e-001,0.000000e+000,-5.783144e+001,2.302958e+001,8.072137e+000,1.000000e+000
44,1.466667,-5.436585e-002,3.818998e-001,9.226034e-001,0.000000e+000,9.917247e-001,1.282716e-001,5.342543e-003,0.000000e+000,-1.163035e-001,9.152590e-001,-3.857131e-001,0.000000e+000,-5.782443e+001,2.311442e+001,8.078093e+000,1.000000e+000
45,1.500000,-5.495182e-002,3.820405e-001,9.225104e-001,0.000000e+000,9.917163e-001,1.283111e-001,5.936587e-003,0.000000e+000,-1.161003e-001,9.151947e-001,-3.859267e-001,0.000000e+000,-5.781263e+001,2.318057e+001,8.060247e+000,1.000000e+000
46,1.533333,-5.537160e-002,3.819361e-001,9.225285e-001,0.000000e+000,9.917145e-001,1.283023e-001,6.405783e-003,0.000000e+000,-1.159160e-001,9.152395e-001,-3.858759e-001,0.000000e+000,-5.779769e+001,2.322679e+001,8.031882e+000,1.000000e+000
47,1.566667,-5.559170e-002,3.815119e-001,9.226907e-001,0.000000e+000,9.917231e-001,1.282193e-001,6.735052e-003,0.000000e+000,-1.157373e-001,9.154280e-001,-3.854821e-001,0.000000e+000,-5.778016e+001,2.325467e+001,8.005536e+000,1.000000e+000
48,1.600000,-5.561639e-002,3.807273e-001,9.230133e-001,0.000000e+000,9.917400e-001,1.280775e-001,6.927754e-003,0.000000e+000,-1.155796e-001,9.157745e-001,-3.847057e-001,0.000000e+000,-5.776113e+001,2.326599e+001,7.993039e+000,1.000000e+000
49,1.633333,-5.548483e-002,3.795862e-001,9.234911e-001,0.000000e+000,9.917561e-001,1.279496e-001,6.994678e-003,0.000000e+000,-1.155052e-001,9.162659e-001,-3.835562e-001,0.000000e+000,-5.774307e+001,2.326076e+001,8.005121e+000,1.000000e+000
50,1.666667,-5.525948e-002,3.781598e-001,9.240897e-001,0.000000e+000,9.917604e-001,1.279185e-001,6.958789e-003,0.000000e+000,-1.155766e-001,9.168599e-001,-3.821125e-001,0.000000e+000,-5.772881e+001,2.324011e+001,8.046985e+000,1.000000e+000
51,1.700000,-5.501392e-002,3.765788e-001,9.247497e-001,0.000000e+000,9.917463e-001,1.280328e-001,6.861749e-003,0.000000e+000,-1.158143e-001,9.174944e-001,-3.805142e-001,0.000000e+000,-5.772058e+001,2.320819e+001,8.114447e+000,1.000000e+000
