Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
68,2.266667,-6.299110e-002,9.964972e-001,5.500494e-002,0.000000e+000,-6.459092e-001,-8.272061e-002,7.589193e-001,0.000000e+000,7.608110e-001,1.227692e-002,6.488575e-001,0.000000e+000,-4.508998e+001,6.114626e+001,9.274589e+001,1.000000e+000
69,2.300000,-6.033595e-002,9.966964e-001,5.436790e-002,0.000000e+000,-6.256372e-001,-8.020184e-002,7.759804e-001,0.000000e+000,7.777773e-001,1.280490e-002,6.284095e-001,0.000000e+000,-4.322237e+001,6.122855e+001,9.347017e+001,1.000000e+000
70,2.333333,-5.711303e-002,9.969001e-001,5.411350e-002,0.000000e+000,-5.989105e-001,-7.757727e-002,7.970495e-001,0.000000e+000,7.987768e-001,1.311273e-002,6.014846e-001,0.000000e+000,-4.095118e+001,6.140286e+001,9.434200e+001,1.000000e+000
71,2.366667,-5.295363e-002,9.971450e-001,5.383163e-002,0.000000e+000,-5.647207e-001,-7.436192e-002,8.219250e-001,0.000000e+000,8.235815e-001,1.312406e-002,5.670462e-001,0.000000e+000,-3.830541e+001,6.166676e+001,9.532198e+001,1.000000e+000
72,2.400000,-4.751953e-002,9.974517e-001,5.321659e-002,0.000000e+000,-5.226338e-001,-7.023031e-002,8.496596e-001,0.000000e+000,8.512319e-001,1.256263e-002,5.246393e-001,0.000000e+000,-3.532110e+001,6.201215e+001,9.636593e+001,1.000000e+000
73,2.433333,-4.053953e-002,9.978196e-001,5.208349e-002,0.000000e+000,-4.727593e-001,-6.507760e-002,8.787852e-001,0.000000e+000,8.802586e-001,1.100252e-002,4.743667e-001,0.000000e+000,-3.203019e+001,6.242662e+001,9.742760e+001,1.000000e+000
74,2.466667,-3.188388e-002,9.982256e-001,5.029068e-002,0.000000e+000,-4.155389e-001,-5.900056e-002,9.076598e-001,0.000000e+000,9.090164e-001,8.041929e-003,4.166827e-001,0.000000e+000,-2.845210e+001,6.289605e+001,9.845923e+001,1.000000e+000
75,2.500000,-2.170028e-002,9.986250e-001,4.771874e-002,0.000000e+000,-3.516594e-001,-5.230414e-002,9.346656e-001,0.000000e+000,9.358765e-001,3.501741e-003,3.523109e-001,0.000000e+000,-2.459534e+001,6.340520e+001,9.941098e+001,1.000000e+000
76,2.533333,-1.043256e-002,9.989635e-001,4.430670e-002,0.000000e+000,-2.820454e-001,-4.544977e-002,9.583238e-001,0.000000e+000,9.593443e-001,-2.498718e-003,2.822273e-001,0.000000e+000,-2.046762e+001,6.393701e+001,1.002329e+002,1.000000e+000
77,2.566667,1.367136e-003,9.991988e-001,3.999864e-002,0.000000e+000,-2.079081e-001,-3.884067e-002,9.773768e-001,0.000000e+000,9.781474e-001,-9.652292e-003,2.076885e-001,0.000000e+000,-1.608636e+001,6.447248e+001,1.008784e+002,1.000000e+000
78,2.600000,1.317006e-002,9.993088e-001,3.476251e-002,0.000000e+000,-1.306965e-001,-3.274693e-002,9.908814e-001,0.000000e+000,9.913350e-001,-1.759334e-002,1.301749e-001,0.000000e+000,-1.148413e+001,6.499319e+001,1.013079e+002,1.000000e+000
79,2.633333,2.451261e-002,9.992907e-001,2.858539e-002,0.000000e+000,-5.198673e-002,-2.728113e-002,9.982750e-001,0.000000e+000,9.983469e-001,-2.595643e-002,5.128109e-002,0.000000e+000,-6.705269e+000,6.548206e+001,1.014885e+002,1.000000e+000
80,2.666667,3.499424e-002,9.991566e-001,2.148527e-002,0.000000e+000,2.663398e-002,-2.242326e-002,9.993937e-001,0.000000e+000,9.990326e-001,-3.440084e-002,-2.739621e-002,0.000000e+000,-1.803287e+000,6.592375e+001,1.013966e+002,1.000000e+000
81,2.700000,4.422826e-002,9.989291e-001,1.358431e-002,0.000000e+000,1.037077e-001,-1.811508e-002,9.944428e-001,0.000000e+000,9.936240e-001,-4.257369e-002,-1.043978e-001,0.000000e+000,3.163815e+000,6.630531e+001,1.010189e+002,1.000000e+000
82,2.733333,5.182339e-002,9.986431e-001,5.137981e-003,0.000000e+000,1.778696e-001,-1.429276e-002,9.839502e-001,0.000000e+000,9.826885e-001,-5.007777e-002,-1.783689e-001,0.000000e+000,8.135655e+000,6.661836e+001,1.003549e+002,1.000000e+000
83,2.766667,5.745636e-002,9.983418e-001,-3.536390e-003,0.000000e+000,2.478135e-001,-1.083059e-002,9.687471e-001,0.000000e+000,9.671025e-001,-5.653708e-002,-2.480249e-001,0.000000e+000,1.305083e+001,6.686214e+001,9.942056e+001,1.000000e+000
84,2.800000,6.093540e-002,9.980677e-001,-1.215082e-002,0.000000e+000,3.124958e-001,-7.514694e-003,9.498894e-001,0.000000e+000,9.479626e-001,-6.167900e-002,-3.123499e-001,0.000000e+000,1.784969e+001,6.704457e+001,9.824540e+001,1.000000e+000
85,2.833333,6.226172e-002,9.978500e-001,-2.046654e-002,0.000000e+000,3.712074e-001,-4.116914e-003,9.285408e-001,0.000000e+000,9.264602e-001,-6.540995e-002,-3.706656e-001,0.000000e+000,2.247776e+001,6.717784e+001,9.686577e+001,1.000000e+000
86,2.866667,6.156747e-002,9.977017e-001,-2.829788e-002,0.000000e+000,4.235441e-001,-4.432404e-004,9.058753e-001,0.000000e+000,9.037809e-001,-6.775787e-002,-4.225980e-001,0.000000e+000,2.688423e+001,6.727615e+001,9.532349e+001,1.000000e+000
87,2.900000,5.909584e-002,9.976216e-001,-3.547917e-002,0.000000e+000,4.695563e-001,3.584058e-003,8.828952e-001,0.000000e+000,8.809226e-001,-6.883492e-002,-4.682277e-001,0.000000e+000,3.102630e+001,6.735790e+001,9.366042e+001,1.000000e+000
88,2.933333,5.516613e-002,9.975966e-001,-4.192688e-002,0.000000e+000,5.096311e-001,7.976788e-003,8.603560e-001,0.000000e+000,8.586227e-001,-6.882979e-002,-5.079662e-001,0.000000e+000,3.487524e+001,6.744515e+001,9.191464e+001,1.000000e+000
89,2.966667,5.016806e-002,9.976018e-001,-4.768522e-002,0.000000e+000,5.443171e-001,1.272067e-002,8.387831e-001,0.000000e+000,8.373781e-001,-6.803606e-002,-5.423735e-001,0.000000e+000,3.841985e+001,6.755596e+001,9.011837e+001,1.000000e+000
90,3.000000,4.452376e-002,9.976084e-001,-5.286877e-002,0.000000e+000,5.742258e-001,1.774905e-002,8.185045e-001,0.000000e+000,8.174853e-001,-6.680152e-002,-5.720623e-001,0.000000e+000,4.166686e+001,6.770601e+001,8.829985e+001,1.000000e+000
91,3.033333,3.867044e-002,9.975924e-001,-5.756754e-002,0.000000e+000,5.999744e-001,2.289009e-002,7.996916e-001,0.000000e+000,7.990840e-001,-6.546348e-002,-5.976448e-001,0.000000e+000,4.463768e+001,6.790842e+001,8.648318e+001,1.000000e+000
92,3.066667,3.303428e-002,9.975427e-001,-6.178450e-002,0.000000e+000,6.222245e-001,2.785036e-002,7.823433e-001,0.000000e+000,7.821416e-001,-6.428797e-002,-6.197755e-001,0.000000e+000,4.736403e+001,6.817176e+001,8.468633e+001,1.000000e+000
93,3.100000,2.802641e-002,9.974601e-001,-6.548183e-002,0.000000e+000,6.415318e-001,3.228850e-002,7.664165e-001,0.000000e+000,7.665842e-001,-6.348862e-002,-6.389975e-001,0.000000e+000,4.987755e+001,6.849962e+001,8.292246e+001,1.000000e+000
94,3.133333,2.400495e-002,9.973520e-001,-6.864945e-002,0.000000e+000,6.582726e-001,3.591233e-002,7.519225e-001,0.000000e+000,7.523968e-001,-6.323992e-002,-6.556674e-001,0.000000e+000,5.220457e+001,6.889002e+001,8.120169e+001,1.000000e+000
95,3.166667,2.117466e-002,9.972294e-001,-7.131089e-002,0.000000e+000,6.727420e-001,3.855129e-002,7.388720e-001,0.000000e+000,7.395741e-001,-6.361925e-002,-6.700618e-001,0.000000e+000,5.436573e+001,6.933689e+001,7.953294e+001,1.000000e+000
